PassengerId,Sex,Pclass,Age,SibSp,Parch,Fare,Embarked
1176,3,0,2,1,1,20.2125,2
1177,3,1,36,0,0,7.25,2
1179,1,1,24,1,0,82.2667,2
1183,3,0,30,0,0,6.95,1
1185,1,1,53,1,1,81.8583,2
1186,3,1,36,0,0,9.5,2
1187,3,1,26,0,0,7.8958,2
1188,2,0,1,1,2,41.5792,0
1190,1,1,30,0,0,45.5,2
1191,3,1,29,0,0,7.8542,2
1192,3,1,32,0,0,7.775,2
1194,2,1,43,0,1,21,2
1195,3,1,24,0,0,8.6625,2
1197,1,0,64,1,1,26.55,2
1198,1,1,30,1,2,151.55,2
1199,3,1,0.83,0,1,9.35,2
1200,1,1,55,1,1,93.5,2
1201,3,0,45,1,0,14.1083,2
1202,3,1,18,0,0,8.6625,2
1203,3,1,22,0,0,7.225,0
1205,3,0,37,0,0,7.75,1
1206,1,0,55,0,0,135.6333,0
1207,3,0,17,0,0,7.7333,1
1208,1,1,57,1,0,146.5208,0
1209,2,1,19,0,0,10.5,2
1210,3,1,27,0,0,7.8542,2
1211,2,1,22,2,0,31.5,2
1212,3,1,26,0,0,7.775,2
1213,3,1,25,0,0,7.2292,0
1214,2,1,26,0,0,13,2
1215,1,1,33,0,0,26.55,2
1216,1,0,39,0,0,211.3375,2
1217,3,1,23,0,0,7.05,2
1218,2,0,12,2,1,39,2
1219,1,1,46,0,0,79.2,0
1220,2,1,29,1,0,26,2
1221,2,1,21,0,0,13,2
1222,2,0,48,0,2,36.75,2
1223,1,1,39,0,0,29.7,0
1225,3,0,19,1,1,15.7417,0
1226,3,1,27,0,0,7.8958,2
1227,1,1,30,0,0,26,2
1228,2,1,32,0,0,13,2
1229,3,1,39,0,2,7.2292,0
1230,2,1,25,0,0,31.5,2
1232,2,1,18,0,0,10.5,2
1233,3,1,32,0,0,7.5792,2
1235,1,0,58,0,1,512.3292,0
1237,3,0,16,0,0,7.65,2
1238,2,1,26,0,0,13,2
1239,3,0,38,0,0,7.2292,0
1240,2,1,24,0,0,13.5,2
1241,2,0,31,0,0,21,2
1242,1,0,45,0,1,63.3583,0
1243,2,1,25,0,0,10.5,2
1244,2,1,18,0,0,73.5,2
1245,2,1,49,1,2,65,2
1246,3,0,0.17,1,2,20.575,2
1247,1,1,50,0,0,26,2
1248,1,0,59,2,0,51.4792,2
1251,3,0,30,1,0,15.55,2
1252,3,1,14.5,8,2,69.55,2
1253,2,0,24,1,1,37.0042,0
1254,2,0,31,0,0,21,2
1255,3,1,27,0,0,8.6625,2
1256,1,0,25,1,0,55.4417,0
1259,3,0,22,0,0,39.6875,2
1260,1,0,45,0,1,59.4,0
1261,2,1,29,0,0,13.8583,0
1262,2,1,21,1,0,11.5,2
1263,1,0,31,0,0,134.5,0
1264,1,1,49,0,0,0,2
1265,2,1,44,0,0,13,2
1266,1,0,54,1,1,81.8583,2
1267,1,0,45,0,0,262.375,0
1268,3,0,22,2,0,8.6625,2
1269,2,1,21,0,0,11.5,2
1270,1,1,55,0,0,50,2
1271,3,1,5,4,2,31.3875,2
1273,3,1,26,0,0,7.8792,1
1275,3,0,19,1,0,16.1,2
1277,2,0,24,1,2,65,2
1278,3,1,24,0,0,7.775,2
1279,2,1,57,0,0,13,2
1280,3,1,21,0,0,7.75,1
1281,3,1,6,3,1,21.075,2
1282,1,1,23,0,0,93.5,2
1283,1,0,51,0,1,39.4,2
1284,3,1,13,0,2,20.25,2
1285,2,1,47,0,0,10.5,2
1286,3,1,29,3,1,22.025,2
1287,1,0,18,1,0,60,2
1288,3,1,24,0,0,7.25,1
1289,1,0,48,1,1,79.2,0
1290,3,1,22,0,0,7.775,2
1291,3,1,31,0,0,7.7333,1
1292,1,0,30,0,0,164.8667,2
1293,2,1,38,1,0,21,2
1294,1,0,22,0,1,59.4,0
1295,1,1,17,0,0,47.1,2
1296,1,1,43,1,0,27.7208,0
1297,2,1,20,0,0,13.8625,0
1298,2,1,23,1,0,10.5,2
1299,1,1,50,1,1,211.5,0
1301,3,0,3,1,1,13.775,2
1303,1,0,37,1,0,90,1
1304,3,0,28,0,0,7.775,2
1306,1,0,39,0,0,108.9,0
1307,3,1,38.5,0,0,7.25,2
